system,Benchmark,model,method,sample,pass_rate,problem
pa20-result,JavaBench,minimax-m3,OpenCode,sample3,0.9333,PA20
pa20-result,JavaBench,minimax-m3,OpenCode,sample4,0.6889,PA20
pa20-result,JavaBench,minimax-m3,OpenCode,sample5,0.7111,PA20
pa20-result,JavaBench,gemini-3.1-flash-lite,OpenCode,sample1,0,PA20
pa20-result,JavaBench,gemini-3.1-flash-lite,OpenCode,sample2,0.1111,PA20
pa20-result,JavaBench,gemini-3.1-flash-lite,OpenCode,sample3,0.1556,PA20
pa20-result,JavaBench,gemini-3.1-flash-lite,OpenCode,sample4,0.0889,PA20
pa20-result,JavaBench,gemini-3.1-flash-lite,OpenCode,sample5,0.1111,PA20
pa20-result,JavaBench,gpt-5.4-mini,OpenCode,sample1,0.1556,PA20
pa20-result,JavaBench,gpt-5.4-mini,OpenCode,sample2,0.3556,PA20
pa20-result,JavaBench,gpt-5.4-mini,OpenCode,sample3,0.1333,PA20
pa20-result,JavaBench,gpt-5.4-mini,OpenCode,sample4,0.1556,PA20
pa20-result,JavaBench,gpt-5.4-mini,OpenCode,sample5,0.1556,PA20
pa21-result,JavaBench,qwen3.6-flash,OpenCode,sample1,0,PA21
pa21-result,JavaBench,qwen3.6-flash,OpenCode,sample2,0,PA21
pa21-result,JavaBench,qwen3.6-flash,OpenCode,sample3,0,PA21
pa21-result,JavaBench,qwen3.6-flash,OpenCode,sample4,0,PA21
pa21-result,JavaBench,qwen3.6-flash,OpenCode,sample5,0,PA21
pa21-result,JavaBench,deepseek-v4-flash,OpenCode,sample1,0.4483,PA21
pa21-result,JavaBench,deepseek-v4-flash,OpenCode,sample2,0.4414,PA21
pa21-result,JavaBench,deepseek-v4-flash,OpenCode,sample3,0.8552,PA21
pa21-result,JavaBench,deepseek-v4-flash,OpenCode,sample4,0.8207,PA21
pa21-result,JavaBench,deepseek-v4-flash,OpenCode,sample5,0.4483,PA21
pa21-result,JavaBench,minimax-m3,OpenCode,sample1,0.469,PA21
pa21-result,JavaBench,minimax-m3,OpenCode,sample2,0.8828,PA21
pa21-result,JavaBench,minimax-m3,OpenCode,sample3,0.4621,PA21
pa21-result,JavaBench,minimax-m3,OpenCode,sample4,0.4966,PA21
pa21-result,JavaBench,minimax-m3,OpenCode,sample5,0.8552,PA21
pa21-result,JavaBench,gemini-3.1-flash-lite,OpenCode,sample1,0,PA21
pa21-result,JavaBench,gemini-3.1-flash-lite,OpenCode,sample2,0,PA21
pa21-result,JavaBench,gemini-3.1-flash-lite,OpenCode,sample3,0,PA21
pa21-result,JavaBench,gemini-3.1-flash-lite,OpenCode,sample4,0,PA21
pa21-result,JavaBench,gemini-3.1-flash-lite,OpenCode,sample5,0,PA21
pa21-result,JavaBench,gpt-5.4-mini,OpenCode,sample1,0,PA21
pa21-result,JavaBench,gpt-5.4-mini,OpenCode,sample2,0.4069,PA21
pa21-result,JavaBench,gpt-5.4-mini,OpenCode,sample3,0,PA21
pa21-result,JavaBench,gpt-5.4-mini,OpenCode,sample4,0.3931,PA21
pa21-result,JavaBench,gpt-5.4-mini,OpenCode,sample5,0.4069,PA21
pa22-result,JavaBench,qwen3.6-flash,OpenCode,sample1,0,PA22
pa22-result,JavaBench,qwen3.6-flash,OpenCode,sample2,0,PA22
pa22-result,JavaBench,qwen3.6-flash,OpenCode,sample3,0,PA22
pa22-result,JavaBench,qwen3.6-flash,OpenCode,sample4,0,PA22
pa22-result,JavaBench,qwen3.6-flash,OpenCode,sample5,0,PA22
pa22-result,JavaBench,deepseek-v4-flash,OpenCode,sample1,0.8529,PA22
pa22-result,JavaBench,deepseek-v4-flash,OpenCode,sample2,0.4118,PA22
pa22-result,JavaBench,deepseek-v4-flash,OpenCode,sample3,0.7794,PA22
pa22-result,JavaBench,deepseek-v4-flash,OpenCode,sample4,0.8382,PA22
pa22-result,JavaBench,deepseek-v4-flash,OpenCode,sample5,0.9118,PA22
pa22-result,JavaBench,minimax-m3,OpenCode,sample1,0,PA22
pa22-result,JavaBench,minimax-m3,OpenCode,sample2,0.7941,PA22
pa22-result,JavaBench,minimax-m3,OpenCode,sample3,0.6471,PA22
pa22-result,JavaBench,minimax-m3,OpenCode,sample4,0.8088,PA22
pa22-result,JavaBench,minimax-m3,OpenCode,sample5,0,PA22
pa22-result,JavaBench,gemini-3.1-flash-lite,OpenCode,sample1,0,PA22
pa22-result,JavaBench,gemini-3.1-flash-lite,OpenCode,sample2,0,PA22
pa22-result,JavaBench,gemini-3.1-flash-lite,OpenCode,sample3,0,PA22
pa22-result,JavaBench,gemini-3.1-flash-lite,OpenCode,sample4,0,PA22
pa22-result,JavaBench,gemini-3.1-flash-lite,OpenCode,sample5,0,PA22
pa22-result,JavaBench,gpt-5.4-mini,OpenCode,sample1,0,PA22
pa22-result,JavaBench,gpt-5.4-mini,OpenCode,sample2,0.2206,PA22
pa22-result,JavaBench,gpt-5.4-mini,OpenCode,sample3,0.1618,PA22
pa22-result,JavaBench,gpt-5.4-mini,OpenCode,sample4,0.0882,PA22
pa22-result,JavaBench,gpt-5.4-mini,OpenCode,sample5,0.0294,PA22
OLRS,TLBench,deepseek-v4-flash,EcoreGenTL,olrs1,1,OLRS
OLRS,TLBench,deepseek-v4-flash,EcoreGenTL,olrs2,0.96,OLRS
OLRS,TLBench,deepseek-v4-flash,EcoreGenTL,olrs3,0.96,OLRS
OLRS,TLBench,deepseek-v4-flash,EcoreGenTL,olrs4,0.96,OLRS
OLRS,TLBench,deepseek-v4-flash,EcoreGenTL,olrs5,0.96,OLRS
OLRS,TLBench,gpt-5.4-mini,EcoreGenTL,olrs1,0.96,OLRS
OLRS,TLBench,gpt-5.4-mini,EcoreGenTL,olrs2,0.96,OLRS
OLRS,TLBench,gpt-5.4-mini,EcoreGenTL,olrs3,0.96,OLRS
OLRS,TLBench,gpt-5.4-mini,EcoreGenTL,olrs4,0.96,OLRS
OLRS,TLBench,gpt-5.4-mini,EcoreGenTL,olrs5,0.96,OLRS
OLRS,TLBench,gemini-3.1-flash-lite,EcoreGenTL,olrs1,0.96,OLRS
OLRS,TLBench,gemini-3.1-flash-lite,EcoreGenTL,olrs2,0.96,OLRS
OLRS,TLBench,gemini-3.1-flash-lite,EcoreGenTL,olrs3,0.96,OLRS
OLRS,TLBench,gemini-3.1-flash-lite,EcoreGenTL,olrs4,1,OLRS
OLRS,TLBench,gemini-3.1-flash-lite,EcoreGenTL,olrs5,0.96,OLRS
OLRS,TLBench,minimax-m3,EcoreGenTL,olrs1,0.96,OLRS
OLRS,TLBench,minimax-m3,EcoreGenTL,olrs2,0.96,OLRS
OLRS,TLBench,minimax-m3,EcoreGenTL,olrs3,0.96,OLRS
OLRS,TLBench,minimax-m3,EcoreGenTL,olrs4,0.96,OLRS
OLRS,TLBench,minimax-m3,EcoreGenTL,olrs5,0.96,OLRS
OLRS,TLBench,qwen3.6-flash,EcoreGenTL,olrs1,0.96,OLRS
OLRS,TLBench,qwen3.6-flash,EcoreGenTL,olrs2,0.92,OLRS
OLRS,TLBench,qwen3.6-flash,EcoreGenTL,olrs3,0.96,OLRS
OLRS,TLBench,qwen3.6-flash,EcoreGenTL,olrs4,0.96,OLRS
OLRS,TLBench,qwen3.6-flash,EcoreGenTL,olrs5,0.96,OLRS
OPMS,TLBench,deepseek-v4-flash,EcoreGenTL,project1,1,OPMS
OPMS,TLBench,deepseek-v4-flash,EcoreGenTL,project2,1,OPMS
OPMS,TLBench,deepseek-v4-flash,EcoreGenTL,project3,1,OPMS
OPMS,TLBench,deepseek-v4-flash,EcoreGenTL,project4,1,OPMS
OPMS,TLBench,deepseek-v4-flash,EcoreGenTL,project5,1,OPMS
OPMS,TLBench,gpt-5.4-mini,EcoreGenTL,project1,1,OPMS
OPMS,TLBench,gpt-5.4-mini,EcoreGenTL,project2,1,OPMS
OPMS,TLBench,gpt-5.4-mini,EcoreGenTL,project3,1,OPMS
OPMS,TLBench,gpt-5.4-mini,EcoreGenTL,project4,1,OPMS
OPMS,TLBench,gpt-5.4-mini,EcoreGenTL,project5,1,OPMS
OPMS,TLBench,gemini-3.1-flash-lite,EcoreGenTL,project1,1,OPMS
OPMS,TLBench,gemini-3.1-flash-lite,EcoreGenTL,project2,1,OPMS
OPMS,TLBench,gemini-3.1-flash-lite,EcoreGenTL,project3,1,OPMS
OPMS,TLBench,gemini-3.1-flash-lite,EcoreGenTL,project4,1,OPMS
OPMS,TLBench,gemini-3.1-flash-lite,EcoreGenTL,project5,0.96,OPMS
OPMS,TLBench,minimax-m3,EcoreGenTL,project1,1,OPMS
OPMS,TLBench,minimax-m3,EcoreGenTL,project2,1,OPMS
OPMS,TLBench,minimax-m3,EcoreGenTL,project3,1,OPMS
OPMS,TLBench,minimax-m3,EcoreGenTL,project4,0.96,OPMS
OPMS,TLBench,minimax-m3,EcoreGenTL,project5,1,OPMS
OPMS,TLBench,qwen3.6-flash,EcoreGenTL,project1,0.96,OPMS
OPMS,TLBench,qwen3.6-flash,EcoreGenTL,project2,0.96,OPMS
OPMS,TLBench,qwen3.6-flash,EcoreGenTL,project3,0.96,OPMS
OPMS,TLBench,qwen3.6-flash,EcoreGenTL,project4,1,OPMS
OPMS,TLBench,qwen3.6-flash,EcoreGenTL,project5,1,OPMS
OPRS,TLBench,deepseek-v4-flash,EcoreGenTL,conference1,1,OPRS
OPRS,TLBench,deepseek-v4-flash,EcoreGenTL,conference2,1,OPRS
OPRS,TLBench,deepseek-v4-flash,EcoreGenTL,conference3,1,OPRS
OPRS,TLBench,deepseek-v4-flash,EcoreGenTL,conference4,1,OPRS
OPRS,TLBench,deepseek-v4-flash,EcoreGenTL,conference5,0.8788,OPRS
OPRS,TLBench,gpt-5.4-mini,EcoreGenTL,conference1,1,OPRS
OPRS,TLBench,gpt-5.4-mini,EcoreGenTL,conference2,1,OPRS
OPRS,TLBench,gpt-5.4-mini,EcoreGenTL,conference3,1,OPRS
OPRS,TLBench,gpt-5.4-mini,EcoreGenTL,conference4,1,OPRS
OPRS,TLBench,gpt-5.4-mini,EcoreGenTL,conference5,1,OPRS
OPRS,TLBench,gemini-3.1-flash-lite,EcoreGenTL,conference1,1,OPRS
OPRS,TLBench,gemini-3.1-flash-lite,EcoreGenTL,conference2,1,OPRS
OPRS,TLBench,gemini-3.1-flash-lite,EcoreGenTL,conference3,1,OPRS
OPRS,TLBench,gemini-3.1-flash-lite,EcoreGenTL,conference4,1,OPRS
OPRS,TLBench,gemini-3.1-flash-lite,EcoreGenTL,conference5,1,OPRS
OPRS,TLBench,minimax-m3,EcoreGenTL,conference1,1,OPRS
OPRS,TLBench,minimax-m3,EcoreGenTL,conference2,1,OPRS
OPRS,TLBench,minimax-m3,EcoreGenTL,conference3,1,OPRS
OPRS,TLBench,minimax-m3,EcoreGenTL,conference4,1,OPRS
OPRS,TLBench,minimax-m3,EcoreGenTL,conference5,1,OPRS
OPRS,TLBench,qwen3.6-flash,EcoreGenTL,conference1,0.8788,OPRS
OPRS,TLBench,qwen3.6-flash,EcoreGenTL,conference2,1,OPRS
OPRS,TLBench,qwen3.6-flash,EcoreGenTL,conference3,1,OPRS
OPRS,TLBench,qwen3.6-flash,EcoreGenTL,conference4,0.8788,OPRS
OPRS,TLBench,qwen3.6-flash,EcoreGenTL,conference5,1,OPRS
ORS,TLBench,deepseek-v4-flash,EcoreGenTL,rideshare1,0.9429,ORS
ORS,TLBench,deepseek-v4-flash,EcoreGenTL,rideshare2,0.7714,ORS
ORS,TLBench,deepseek-v4-flash,EcoreGenTL,rideshare3,0.9429,ORS
ORS,TLBench,deepseek-v4-flash,EcoreGenTL,rideshare4,0.9429,ORS
ORS,TLBench,deepseek-v4-flash,EcoreGenTL,rideshare5,0.8286,ORS
ORS,TLBench,gpt-5.4-mini,EcoreGenTL,rideshare1,0.7714,ORS
ORS,TLBench,gpt-5.4-mini,EcoreGenTL,rideshare2,0.7143,ORS
ORS,TLBench,gpt-5.4-mini,EcoreGenTL,rideshare3,0.7714,ORS
ORS,TLBench,gpt-5.4-mini,EcoreGenTL,rideshare4,0.8286,ORS
ORS,TLBench,gpt-5.4-mini,EcoreGenTL,rideshare5,0.7143,ORS
ORS,TLBench,gemini-3.1-flash-lite,EcoreGenTL,rideshare1,0.8571,ORS
ORS,TLBench,gemini-3.1-flash-lite,EcoreGenTL,rideshare2,0.8857,ORS
ORS,TLBench,gemini-3.1-flash-lite,EcoreGenTL,rideshare3,0.8857,ORS
ORS,TLBench,gemini-3.1-flash-lite,EcoreGenTL,rideshare4,0,ORS
ORS,TLBench,gemini-3.1-flash-lite,EcoreGenTL,rideshare5,0,ORS
ORS,TLBench,minimax-m3,EcoreGenTL,rideshare1,1,ORS
ORS,TLBench,minimax-m3,EcoreGenTL,rideshare2,0.9429,ORS
ORS,TLBench,minimax-m3,EcoreGenTL,rideshare3,0.8857,ORS
ORS,TLBench,minimax-m3,EcoreGenTL,rideshare4,0.9429,ORS
ORS,TLBench,minimax-m3,EcoreGenTL,rideshare5,0.8286,ORS
ORS,TLBench,qwen3.6-flash,EcoreGenTL,rideshare1,0,ORS
ORS,TLBench,qwen3.6-flash,EcoreGenTL,rideshare2,0.6857,ORS
ORS,TLBench,qwen3.6-flash,EcoreGenTL,rideshare3,0,ORS
ORS,TLBench,qwen3.6-flash,EcoreGenTL,rideshare4,0.7143,ORS
ORS,TLBench,qwen3.6-flash,EcoreGenTL,rideshare5,0.7714,ORS
R123_School,TLBench,deepseek-v4-flash,EcoreGenTL,trainingSchool1,1,R123_School
R123_School,TLBench,deepseek-v4-flash,EcoreGenTL,trainingSchool2,1,R123_School
R123_School,TLBench,deepseek-v4-flash,EcoreGenTL,trainingSchool3,1,R123_School
R123_School,TLBench,deepseek-v4-flash,EcoreGenTL,trainingSchool4,1,R123_School
R123_School,TLBench,deepseek-v4-flash,EcoreGenTL,trainingSchool5,1,R123_School
R123_School,TLBench,gpt-5.4-mini,EcoreGenTL,trainingSchool1,1,R123_School
R123_School,TLBench,gpt-5.4-mini,EcoreGenTL,trainingSchool2,1,R123_School
R123_School,TLBench,gpt-5.4-mini,EcoreGenTL,trainingSchool3,1,R123_School
R123_School,TLBench,gpt-5.4-mini,EcoreGenTL,trainingSchool4,1,R123_School
R123_School,TLBench,gpt-5.4-mini,EcoreGenTL,trainingSchool5,1,R123_School
R123_School,TLBench,gemini-3.1-flash-lite,EcoreGenTL,trainingSchool1,1,R123_School
R123_School,TLBench,gemini-3.1-flash-lite,EcoreGenTL,trainingSchool2,1,R123_School
R123_School,TLBench,gemini-3.1-flash-lite,EcoreGenTL,trainingSchool3,1,R123_School
R123_School,TLBench,gemini-3.1-flash-lite,EcoreGenTL,trainingSchool4,1,R123_School
R123_School,TLBench,gemini-3.1-flash-lite,EcoreGenTL,trainingSchool5,1,R123_School
R123_School,TLBench,minimax-m3,EcoreGenTL,trainingSchool1,1,R123_School
R123_School,TLBench,minimax-m3,EcoreGenTL,trainingSchool2,1,R123_School
R123_School,TLBench,minimax-m3,EcoreGenTL,trainingSchool3,0.96,R123_School
R123_School,TLBench,minimax-m3,EcoreGenTL,trainingSchool4,1,R123_School
R123_School,TLBench,minimax-m3,EcoreGenTL,trainingSchool5,1,R123_School
R123_School,TLBench,qwen3.6-flash,EcoreGenTL,trainingSchool1,1,R123_School
R123_School,TLBench,qwen3.6-flash,EcoreGenTL,trainingSchool2,0.96,R123_School
R123_School,TLBench,qwen3.6-flash,EcoreGenTL,trainingSchool3,1,R123_School
R123_School,TLBench,qwen3.6-flash,EcoreGenTL,trainingSchool4,0.96,R123_School
R123_School,TLBench,qwen3.6-flash,EcoreGenTL,trainingSchool5,1,R123_School
R12_RentedCarGalleryManagementSystem,TLBench,deepseek-v4-flash,EcoreGenTL,carrental1,1,R12_RentedCarGalleryManagementSystem
R12_RentedCarGalleryManagementSystem,TLBench,deepseek-v4-flash,EcoreGenTL,carrental2,1,R12_RentedCarGalleryManagementSystem
R12_RentedCarGalleryManagementSystem,TLBench,deepseek-v4-flash,EcoreGenTL,carrental3,1,R12_RentedCarGalleryManagementSystem
R12_RentedCarGalleryManagementSystem,TLBench,deepseek-v4-flash,EcoreGenTL,carrental4,1,R12_RentedCarGalleryManagementSystem
R12_RentedCarGalleryManagementSystem,TLBench,deepseek-v4-flash,EcoreGenTL,carrental5,1,R12_RentedCarGalleryManagementSystem
R12_RentedCarGalleryManagementSystem,TLBench,gpt-5.4-mini,EcoreGenTL,carrental1,1,R12_RentedCarGalleryManagementSystem
R12_RentedCarGalleryManagementSystem,TLBench,gpt-5.4-mini,EcoreGenTL,carrental2,1,R12_RentedCarGalleryManagementSystem
R12_RentedCarGalleryManagementSystem,TLBench,gpt-5.4-mini,EcoreGenTL,carrental3,1,R12_RentedCarGalleryManagementSystem
R12_RentedCarGalleryManagementSystem,TLBench,gpt-5.4-mini,EcoreGenTL,carrental4,1,R12_RentedCarGalleryManagementSystem
R12_RentedCarGalleryManagementSystem,TLBench,gpt-5.4-mini,EcoreGenTL,carrental5,1,R12_RentedCarGalleryManagementSystem
R12_RentedCarGalleryManagementSystem,TLBench,gemini-3.1-flash-lite,EcoreGenTL,carrental1,1,R12_RentedCarGalleryManagementSystem
R12_RentedCarGalleryManagementSystem,TLBench,gemini-3.1-flash-lite,EcoreGenTL,carrental2,1,R12_RentedCarGalleryManagementSystem
R12_RentedCarGalleryManagementSystem,TLBench,gemini-3.1-flash-lite,EcoreGenTL,carrental3,1,R12_RentedCarGalleryManagementSystem
R12_RentedCarGalleryManagementSystem,TLBench,gemini-3.1-flash-lite,EcoreGenTL,carrental4,1,R12_RentedCarGalleryManagementSystem
R12_RentedCarGalleryManagementSystem,TLBench,gemini-3.1-flash-lite,EcoreGenTL,carrental5,1,R12_RentedCarGalleryManagementSystem
R12_RentedCarGalleryManagementSystem,TLBench,minimax-m3,EcoreGenTL,carrental1,1,R12_RentedCarGalleryManagementSystem
R12_RentedCarGalleryManagementSystem,TLBench,minimax-m3,EcoreGenTL,carrental2,1,R12_RentedCarGalleryManagementSystem
R12_RentedCarGalleryManagementSystem,TLBench,minimax-m3,EcoreGenTL,carrental3,1,R12_RentedCarGalleryManagementSystem
R12_RentedCarGalleryManagementSystem,TLBench,minimax-m3,EcoreGenTL,carrental4,1,R12_RentedCarGalleryManagementSystem
R12_RentedCarGalleryManagementSystem,TLBench,minimax-m3,EcoreGenTL,carrental5,1,R12_RentedCarGalleryManagementSystem
R12_RentedCarGalleryManagementSystem,TLBench,qwen3.6-flash,EcoreGenTL,carrental1,1,R12_RentedCarGalleryManagementSystem
R12_RentedCarGalleryManagementSystem,TLBench,qwen3.6-flash,EcoreGenTL,carrental2,1,R12_RentedCarGalleryManagementSystem
R12_RentedCarGalleryManagementSystem,TLBench,qwen3.6-flash,EcoreGenTL,carrental3,1,R12_RentedCarGalleryManagementSystem
R12_RentedCarGalleryManagementSystem,TLBench,qwen3.6-flash,EcoreGenTL,carrental4,1,R12_RentedCarGalleryManagementSystem
R12_RentedCarGalleryManagementSystem,TLBench,qwen3.6-flash,EcoreGenTL,carrental5,1,R12_RentedCarGalleryManagementSystem
R132_MunicipalLibrary,TLBench,deepseek-v4-flash,EcoreGenTL,municipalLibrary1,1,R132_MunicipalLibrary
R132_MunicipalLibrary,TLBench,deepseek-v4-flash,EcoreGenTL,municipalLibrary2,1,R132_MunicipalLibrary
R132_MunicipalLibrary,TLBench,deepseek-v4-flash,EcoreGenTL,municipalLibrary3,1,R132_MunicipalLibrary
R132_MunicipalLibrary,TLBench,deepseek-v4-flash,EcoreGenTL,municipalLibrary4,1,R132_MunicipalLibrary
R132_MunicipalLibrary,TLBench,deepseek-v4-flash,EcoreGenTL,municipalLibrary5,1,R132_MunicipalLibrary
R132_MunicipalLibrary,TLBench,gpt-5.4-mini,EcoreGenTL,municipalLibrary1,1,R132_MunicipalLibrary
R132_MunicipalLibrary,TLBench,gpt-5.4-mini,EcoreGenTL,municipalLibrary2,1,R132_MunicipalLibrary
R132_MunicipalLibrary,TLBench,gpt-5.4-mini,EcoreGenTL,municipalLibrary3,1,R132_MunicipalLibrary
R132_MunicipalLibrary,TLBench,gpt-5.4-mini,EcoreGenTL,municipalLibrary4,1,R132_MunicipalLibrary
R132_MunicipalLibrary,TLBench,gpt-5.4-mini,EcoreGenTL,municipalLibrary5,1,R132_MunicipalLibrary
R132_MunicipalLibrary,TLBench,gemini-3.1-flash-lite,EcoreGenTL,municipalLibrary1,1,R132_MunicipalLibrary
R132_MunicipalLibrary,TLBench,gemini-3.1-flash-lite,EcoreGenTL,municipalLibrary2,1,R132_MunicipalLibrary
R132_MunicipalLibrary,TLBench,gemini-3.1-flash-lite,EcoreGenTL,municipalLibrary3,1,R132_MunicipalLibrary
R132_MunicipalLibrary,TLBench,gemini-3.1-flash-lite,EcoreGenTL,municipalLibrary4,1,R132_MunicipalLibrary
R132_MunicipalLibrary,TLBench,gemini-3.1-flash-lite,EcoreGenTL,municipalLibrary5,1,R132_MunicipalLibrary
R132_MunicipalLibrary,TLBench,minimax-m3,EcoreGenTL,municipalLibrary1,1,R132_MunicipalLibrary
R132_MunicipalLibrary,TLBench,minimax-m3,EcoreGenTL,municipalLibrary2,1,R132_MunicipalLibrary
R132_MunicipalLibrary,TLBench,minimax-m3,EcoreGenTL,municipalLibrary3,1,R132_MunicipalLibrary
R132_MunicipalLibrary,TLBench,minimax-m3,EcoreGenTL,municipalLibrary4,0.76,R132_MunicipalLibrary
R132_MunicipalLibrary,TLBench,minimax-m3,EcoreGenTL,municipalLibrary5,1,R132_MunicipalLibrary
R132_MunicipalLibrary,TLBench,qwen3.6-flash,EcoreGenTL,municipalLibrary1,0.88,R132_MunicipalLibrary
R132_MunicipalLibrary,TLBench,qwen3.6-flash,EcoreGenTL,municipalLibrary2,1,R132_MunicipalLibrary
R132_MunicipalLibrary,TLBench,qwen3.6-flash,EcoreGenTL,municipalLibrary3,1,R132_MunicipalLibrary
R132_MunicipalLibrary,TLBench,qwen3.6-flash,EcoreGenTL,municipalLibrary4,0.52,R132_MunicipalLibrary
R132_MunicipalLibrary,TLBench,qwen3.6-flash,EcoreGenTL,municipalLibrary5,1,R132_MunicipalLibrary
R144_AirlineFlights,TLBench,deepseek-v4-flash,EcoreGenTL,flights1,0.92,R144_AirlineFlights
R144_AirlineFlights,TLBench,deepseek-v4-flash,EcoreGenTL,flights2,0.96,R144_AirlineFlights
R144_AirlineFlights,TLBench,deepseek-v4-flash,EcoreGenTL,flights3,0.92,R144_AirlineFlights
R144_AirlineFlights,TLBench,deepseek-v4-flash,EcoreGenTL,flights4,0.92,R144_AirlineFlights
R144_AirlineFlights,TLBench,deepseek-v4-flash,EcoreGenTL,flights5,0.92,R144_AirlineFlights
R144_AirlineFlights,TLBench,gpt-5.4-mini,EcoreGenTL,flights1,0.96,R144_AirlineFlights
R144_AirlineFlights,TLBench,gpt-5.4-mini,EcoreGenTL,flights2,0.92,R144_AirlineFlights
R144_AirlineFlights,TLBench,gpt-5.4-mini,EcoreGenTL,flights3,1,R144_AirlineFlights
R144_AirlineFlights,TLBench,gpt-5.4-mini,EcoreGenTL,flights4,0.96,R144_AirlineFlights
R144_AirlineFlights,TLBench,gpt-5.4-mini,EcoreGenTL,flights5,0.84,R144_AirlineFlights
R144_AirlineFlights,TLBench,gemini-3.1-flash-lite,EcoreGenTL,flights1,0.96,R144_AirlineFlights
R144_AirlineFlights,TLBench,gemini-3.1-flash-lite,EcoreGenTL,flights2,0.96,R144_AirlineFlights
R144_AirlineFlights,TLBench,gemini-3.1-flash-lite,EcoreGenTL,flights3,0.92,R144_AirlineFlights
R144_AirlineFlights,TLBench,gemini-3.1-flash-lite,EcoreGenTL,flights4,0.96,R144_AirlineFlights
R144_AirlineFlights,TLBench,gemini-3.1-flash-lite,EcoreGenTL,flights5,0.96,R144_AirlineFlights
R144_AirlineFlights,TLBench,minimax-m3,EcoreGenTL,flights1,0.96,R144_AirlineFlights
R144_AirlineFlights,TLBench,minimax-m3,EcoreGenTL,flights2,0.96,R144_AirlineFlights
R144_AirlineFlights,TLBench,minimax-m3,EcoreGenTL,flights3,0.96,R144_AirlineFlights
R144_AirlineFlights,TLBench,minimax-m3,EcoreGenTL,flights4,1,R144_AirlineFlights
R144_AirlineFlights,TLBench,minimax-m3,EcoreGenTL,flights5,0.92,R144_AirlineFlights
R144_AirlineFlights,TLBench,qwen3.6-flash,EcoreGenTL,flights1,0,R144_AirlineFlights
R144_AirlineFlights,TLBench,qwen3.6-flash,EcoreGenTL,flights2,0.88,R144_AirlineFlights
R144_AirlineFlights,TLBench,qwen3.6-flash,EcoreGenTL,flights3,0.92,R144_AirlineFlights
R144_AirlineFlights,TLBench,qwen3.6-flash,EcoreGenTL,flights4,0,R144_AirlineFlights
R144_AirlineFlights,TLBench,qwen3.6-flash,EcoreGenTL,flights5,0.88,R144_AirlineFlights
R2_EmployeeManagementSystem,TLBench,deepseek-v4-flash,EcoreGenTL,employee1,0.92,R2_EmployeeManagementSystem
R2_EmployeeManagementSystem,TLBench,deepseek-v4-flash,EcoreGenTL,employee2,1,R2_EmployeeManagementSystem
R2_EmployeeManagementSystem,TLBench,deepseek-v4-flash,EcoreGenTL,employee3,0.96,R2_EmployeeManagementSystem
R2_EmployeeManagementSystem,TLBench,deepseek-v4-flash,EcoreGenTL,employee4,1,R2_EmployeeManagementSystem
R2_EmployeeManagementSystem,TLBench,deepseek-v4-flash,EcoreGenTL,employee5,0.96,R2_EmployeeManagementSystem
R2_EmployeeManagementSystem,TLBench,gpt-5.4-mini,EcoreGenTL,employee1,1,R2_EmployeeManagementSystem
R2_EmployeeManagementSystem,TLBench,gpt-5.4-mini,EcoreGenTL,employee2,1,R2_EmployeeManagementSystem
R2_EmployeeManagementSystem,TLBench,gpt-5.4-mini,EcoreGenTL,employee3,1,R2_EmployeeManagementSystem
R2_EmployeeManagementSystem,TLBench,gpt-5.4-mini,EcoreGenTL,employee4,1,R2_EmployeeManagementSystem
R2_EmployeeManagementSystem,TLBench,gpt-5.4-mini,EcoreGenTL,employee5,1,R2_EmployeeManagementSystem
R2_EmployeeManagementSystem,TLBench,gemini-3.1-flash-lite,EcoreGenTL,employee1,1,R2_EmployeeManagementSystem
R2_EmployeeManagementSystem,TLBench,gemini-3.1-flash-lite,EcoreGenTL,employee2,1,R2_EmployeeManagementSystem
R2_EmployeeManagementSystem,TLBench,gemini-3.1-flash-lite,EcoreGenTL,employee3,1,R2_EmployeeManagementSystem
R2_EmployeeManagementSystem,TLBench,gemini-3.1-flash-lite,EcoreGenTL,employee4,1,R2_EmployeeManagementSystem
R2_EmployeeManagementSystem,TLBench,gemini-3.1-flash-lite,EcoreGenTL,employee5,1,R2_EmployeeManagementSystem
R2_EmployeeManagementSystem,TLBench,minimax-m3,EcoreGenTL,employee1,0.96,R2_EmployeeManagementSystem
R2_EmployeeManagementSystem,TLBench,minimax-m3,EcoreGenTL,employee2,1,R2_EmployeeManagementSystem
R2_EmployeeManagementSystem,TLBench,minimax-m3,EcoreGenTL,employee3,0.92,R2_EmployeeManagementSystem
R2_EmployeeManagementSystem,TLBench,minimax-m3,EcoreGenTL,employee4,1,R2_EmployeeManagementSystem
R2_EmployeeManagementSystem,TLBench,minimax-m3,EcoreGenTL,employee5,1,R2_EmployeeManagementSystem
R2_EmployeeManagementSystem,TLBench,qwen3.6-flash,EcoreGenTL,employee1,1,R2_EmployeeManagementSystem
R2_EmployeeManagementSystem,TLBench,qwen3.6-flash,EcoreGenTL,employee2,1,R2_EmployeeManagementSystem
R2_EmployeeManagementSystem,TLBench,qwen3.6-flash,EcoreGenTL,employee3,1,R2_EmployeeManagementSystem
R2_EmployeeManagementSystem,TLBench,qwen3.6-flash,EcoreGenTL,employee4,1,R2_EmployeeManagementSystem
